pfam02950	Conotoxin
pfam01639	Viral family 110
pfam20000	FtsH ternary system domain X2
pfam14135	Domain of unknown function (DUF4302)
pfam08721	TnsA endonuclease C terminal
pfam11482	Protein of unknown function (DUF3208)
pfam17494	Family of unknown function (DUF5429)
pfam15144	Domain of unknown function (DUF4576)
pfam06560	Glucose-6-phosphate isomerase (GPI)
pfam00093	von Willebrand factor type C domain
pfam12358	Protein of unknown function (DUF3644) 
pfam00882	Zinc dependent phospholipase C
pfam04192	Utp21 specific WD40 associated putative domain 
pfam10415	Fumarase C C-terminus
pfam13411	MerR HTH family regulatory protein
pfam14839	DOR family
pfam00729	Viral coat protein (S domain)
pfam20064	Family of unknown function (DUF6463)
pfam01381	Helix-turn-helix
pfam01119	DNA mismatch repair protein, C-terminal domain
pfam14615	Ribosome-assembly protein 3
pfam14847	Ras-binding domain of Byr2
pfam11546	Staphylococcal complement inhibitor SCIN 
pfam18034	Bacterial Glycosyl hydrolase family 3 C-terminal domain
pfam16599	Unstructured linker region on PTN13 protein between PDZ
pfam15654	Toxin with a conserved tryptophan and TIP tripeptide motif
pfam01956	Integral membrane protein EMC3/TMCO1-like
pfam12041	Transcriptional regulator DELLA protein N terminal
pfam03312	Protein of unknown function (DUF272)
pfam06504	Replication protein C (RepC)
pfam01157	Ribosomal protein L21e
pfam09065	Haemadin
pfam10447	Exosome component EXOSC1/CSL4
pfam14381	Ethylene-responsive protein kinase Le-CTR1
pfam03360	Glycosyltransferase family 43
pfam14119	Domain of unknown function (DUF4288)
pfam17091	Inovirus G7P protein
pfam00242	DNA polymerase (viral) N-terminal domain
pfam17254	Family of unknown function (DUF5321)
pfam01839	FG-GAP repeat
pfam18266	Nicastrin small lobe
pfam03706	Lysylphosphatidylglycerol synthase TM region
pfam18395	Cas3 C-terminal domain
pfam10439	Bacteriocin class II with double-glycine leader peptide
pfam14956	Domain of unknown function (DUF4505)
pfam14157	YmzC-like protein
pfam00682	HMGL-like
pfam00779	BTK motif
pfam01847	VHL beta domain
pfam12769	4TM region of pyridine nucleotide transhydrogenase, mitoch
pfam04546	Sigma-70, non-essential region
pfam06161	Protein of unknown function (DUF975)
pfam09984	Single cache domain 4
pfam08332	Calcium/calmodulin dependent protein kinase II association domain
pfam16932	Type IV secretory system, conjugal DNA-protein transfer
pfam14639	Holliday-junction resolvase-like of SPT6 
pfam01135	Protein-L-isoaspartate(D-aspartate) O-methyltransferase (PCMT)
pfam13399	LytR cell envelope-related transcriptional attenuator
pfam06512	Sodium ion transport-associated
pfam14815	NUDIX domain
pfam14287	Domain of unknown function (DUF4368)
pfam03304	Mlp lipoprotein family
pfam08408	DNA polymerase family B viral insert
pfam09751	Nuclear protein Es2
pfam14647	FAM91 N-terminus
pfam11192	Protein of unknown function (DUF2977)
pfam06995	Phage P2 GpU
pfam02205	WH2 motif
pfam12444	Sox developmental protein N terminal 
pfam17184	Rit1 N-terminal domain
pfam15854	G-protein coupled receptor ligand 15
pfam18431	Bacterial CdiA-CT RNAse A domain
pfam08771	FKBP12-rapamycin binding domain 
pfam18403	Thioredoxin-like domain
pfam02790	Cytochrome C oxidase subunit II, transmembrane domain
pfam13854	Kelch motif
pfam18154	REase associating with pPIWI_RE
pfam17967	Pullulanase N2 domain
pfam17166	Domain of unknown function (DUF5126)
pfam06719	AraC-type transcriptional regulator N-terminus
pfam12111	Polyribonucleotide phosphorylase C terminal
pfam01218	Coproporphyrinogen III oxidase
pfam12389	Camelysin metallo-endopeptidase
pfam01037	Lrp/AsnC ligand binding domain
pfam19174	Family of unknown function (DUF5856)
pfam15399	Domain of unknown function (DUF4620)
pfam14761	Hermansky-Pudlak syndrome 3
pfam03780	Asp23 family, cell envelope-related function
pfam05304	Protein of unknown function (DUF728)
pfam06757	Insect allergen related repeat, nitrile-specifier detoxification
pfam06096	Baculoviridae 8.2 KDa protein
pfam01049	Cadherin cytoplasmic region
pfam11213	Protein of unknown function (DUF3006)
pfam15014	Ceroid-lipofuscinosis neuronal protein 5
pfam18644	Phage integrase SAM-like domain
pfam04276	Protein of unknown function (DUF443) 
pfam12603	Protein of unknown function (DUF3770)
pfam09966	Uncharacterized protein conserved in bacteria (DUF2200)
pfam12631	MnmE helical domain
pfam09167	Domain of unknown function (DUF1942)
pfam05360	yiaA/B two helix domain
pfam00572	Ribosomal protein L13
pfam16425	Domain of unknown function (DUF5022)
pfam14055	NVEALA protein
pfam02608	ABC transporter substrate-binding protein PnrA-like
pfam11226	Protein of unknown function (DUF3022)
pfam18284	DNA methylase N-terminal domain
pfam05706	Cyclin-dependent kinase inhibitor 3 (CDKN3)
pfam12562	Protein of unknown function (DUF3746)
pfam07974	EGF-like domain
pfam18972	Cns1/TTC4 Wheel domain
pfam02556	Preprotein translocase subunit SecB
pfam07282	Putative transposase DNA-binding domain
pfam01294	Ribosomal protein L13e
pfam12946	MSP1 EGF domain 1
pfam16708	Lipoprotein confined to pathogenic Mycobacterium
pfam01051	Initiator Replication protein
pfam11209	LmeA-like phospholipid-binding 
pfam05729	NACHT domain
pfam12147	Putative methyltransferase
pfam17487	Ribosomal protein S12
pfam19952	Family of unknown function (DUF6414)
pfam03522	Solute carrier family 12
pfam07642	Putative beta-barrel porin-2, OmpL-like. bbp2
pfam10654	Protein of unknown function (DUF2481) 
pfam16471	JNK-interacting protein leucine zipper II
pfam06703	Microsomal signal peptidase 25 kDa subunit (SPC25)
pfam12139	Adenosine-5'-phosphosulfate reductase beta subunit
pfam02083	Urotensin II
pfam01765	Ribosome recycling factor
pfam09486	Bacterial type III secretion protein (HrpB7)
pfam02892	BED zinc finger
pfam01348	Type II intron maturase
pfam16024	Domain of unknown function (DUF4785)
pfam14454	Prokaryotic Ubiquitin
pfam15098	TMEM89 protein family
pfam12657	Transcription factor IIIC subunit delta N-term
pfam15415	Fimbrillin-like
pfam11343	Protein of unknown function (DUF3145)
pfam12835	Integrase
pfam12088	Protein of unknown function (DUF3565)
pfam12619	Mini-chromosome maintenance protein 2
pfam05093	Cytokine-induced anti-apoptosis inhibitor 1, Fe-S biogenesis
pfam07152	YaeQ protein
pfam10144	Bacterial virulence factor haemolysin
pfam06372	Gemin6 protein
pfam17736	C17orf99 Ig domain
pfam04108	Autophagy protein ATG17-like domain 
pfam13415	Galactose oxidase, central domain
pfam07476	Methylaspartate ammonia-lyase C-terminus
pfam10411	Disulfide bond isomerase protein N-terminus
pfam16690	Methylmalonic aciduria and homocystinuria type C family
pfam08182	Pedibin/Hym-346 family
pfam03882	MukF winged-helix domain
pfam08725	Integrin beta cytoplasmic domain
pfam14131	Domain of unknown function (DUF4298)
pfam14103	Domain of unknown function (DUF4276)
pfam10002	Predicted membrane protein (DUF2243)
pfam13098	Thioredoxin-like domain
pfam12320	Type 5 capsule protein repressor C-terminal domain
pfam17334	Minor curli fiber component A
pfam12045	Protein of unknown function (DUF3528)
pfam00312	Ribosomal protein S15
pfam09272	Hepsin, SRCR domain
pfam09737	De-etiolated protein 1 Det1
pfam04962	KduI/IolB family
pfam19477	Family of unknown function (DUF6014)
pfam05522	Metallothionein
pfam18419	ATP-grasp-like domain
pfam01530	Zinc finger, C2HC type
pfam01385	Probable transposase
pfam08252	arg-2/CPA1 leader peptide 
pfam14611	Mitochondrial inner-membrane-bound regulator
pfam11910	Cyanobacterial and plant NDH-1 subunit O
pfam03729	Short repeat of unknown function (DUF308)
pfam09749	Uncharacterised conserved protein
pfam09400	Protein of unknown function (DUF2002)
pfam18457	Up-Regulated in long-lived daf-2
pfam11962	Peptidase_G2, IMC autoproteolytic cleavage domain
pfam06165	Glycosyltransferase family 36
pfam17418	Sporulation delaying protein SdpA
pfam13439	Glycosyltransferase Family 4
pfam03682	Uncharacterised protein family (UPF0158)
pfam10014	2OG-Fe dioxygenase
pfam03779	SPW repeat
pfam07032	Protein of unknown function (DUF1322)
pfam16890	Domain of unknown function (DUF5083)
pfam03242	Late embryogenesis abundant protein
pfam09222	Fimbrial adhesin F17-AG, lectin domain
pfam04910	Transcriptional repressor TCF25
pfam00706	Anenome neurotoxin
pfam18391	CHIP N-terminal tetratricopeptide repeat domain
pfam07413	Betaherpesvirus immediate-early glycoprotein UL37
pfam14385	Domain of unknown function (DUF4416)
pfam05572	Pregnancy-associated plasma protein-A
pfam09061	Stirrup
pfam00360	Phytochrome region
pfam19427	Protein inscuteable C-terminal
pfam13447	Seven times multi-haem cytochrome CxxCH
pfam14530	Domain of unknown function (DUF4439)
pfam17095	Spectrin-binding region of Ca2+-Calmodulin
pfam01611	Filovirus glycoprotein
pfam18435	Esterase Ig-like N-terminal domain
pfam08775	ParB family
pfam02201	SWIB/MDM2 domain
pfam06869	Protein of unknown function (DUF1258)
pfam06991	Microfibril-associated/Pre-mRNA processing
pfam12059	Protein of unknown function (DUF3540)
pfam02233	NAD(P) transhydrogenase beta subunit
pfam11108	Viral glycoprotein L
pfam08492	SRP72 RNA-binding domain
pfam07426	Dynactin subunit p22
pfam09755	Uncharacterized conserved protein H4 (DUF2046)
pfam14811	Protein of unknown function TPD sequence-motif
pfam00304	Gamma-thionin family
pfam01131	DNA topoisomerase
pfam18297	NFACT protein RNA binding domain
pfam12017	Transposase protein
pfam01103	Omp85 superfamily domain
pfam10399	Ubiquitinol-cytochrome C reductase Fe-S subunit TAT signal
pfam12238	Merozoite surface antigen 2c
pfam01454	MAGE family
pfam06322	Phage NinH protein
pfam14765	Polyketide synthase dehydratase
pfam14348	Domain of unknown function (DUF4400)
pfam00780	CNH domain
pfam16074	Type IV Pilus-assembly protein W
pfam12115	Salivary protein of 15kDa inhibits CD4+ T cell activation
pfam10854	Protein of unknown function (DUF2649)
pfam07842	GC-rich sequence DNA-binding factor-like protein
pfam09196	Domain of unknown function (DUF1953)
pfam09997	Predicted membrane protein (DUF2238)
pfam04343	Protein of unknown function, DUF488
pfam14051	N-terminal domain of DPF2/REQ.
pfam04209	homogentisate 1,2-dioxygenase
pfam05242	Glycosylation-dependent cell adhesion molecule 1 (GlyCAM-1)
pfam12857	TOBE-like domain
pfam16421	E2F transcription factor CC-MB domain
pfam14294	Domain of unknown function (DUF4372)
pfam15447	N-terminal segments of PfEMP1
pfam06067	Domain of unknown function (DUF932)
pfam03572	Peptidase family S41
pfam17197	Domain of unknown function (DUF5134)
pfam17996	Carbohydrate esterase 2 N-terminal
pfam18922	Protein of unknown function (DUF5672)
pfam12635	Protein of unknown function (DUF3780)
pfam12819	Malectin-like domain
pfam15439	Neuronal tyrosine-phosphorylated phosphoinositide-3-kinase adapter
pfam04166	Pyridoxal phosphate biosynthetic protein PdxA
pfam19472	Family of unknown function (DUF6009)
pfam06541	Putative ABC-transporter type IV
pfam05527	Domain of unknown function (DUF758) 
pfam12004	Domain of unknown function (DUF3498)
pfam09732	Cactus-binding C-terminus of cactin protein
pfam04967	HTH DNA binding domain
pfam16951	Putative methionine and alanine importer, small subunit
pfam08219	Outer membrane protein TOM13
pfam18043	T4 RNA ligase 2 C-terminal
pfam09277	Erythronolide synthase, docking
pfam00317	Ribonucleotide reductase, all-alpha domain
pfam15613	Williams-Beuren syndrome DDT (WSD), D-TOX E motif
pfam02099	Josephin
pfam05089	Alpha-N-acetylglucosaminidase (NAGLU) tim-barrel domain
pfam07761	Protein of unknown function (DUF1617)
pfam18452	Immunoglobulin domain
pfam19795	Family of unknown function (DUF6279)
pfam16386	Domain of unknown function
pfam08257	Sulfakinin family
pfam08048	Tap RepA1 leader peptide
pfam19200	DUF871 N-terminal domain
pfam05618	Putative ATP-dependant zinc protease
pfam00359	Phosphoenolpyruvate-dependent sugar phosphotransferase system, EIIA 2
pfam15876	Domain of unknown function (DUF4732)
pfam00211	Adenylate and Guanylate cyclase catalytic domain
pfam08187	Myoactive tetradecapeptides family
pfam03215	Rad17 P-loop domain
pfam17276	Family of unknown function (DUF5341)
pfam03887	YfbU domain
pfam09371	Tex-like protein N-terminal domain
pfam00070	Pyridine nucleotide-disulphide oxidoreductase
pfam08986	Domain of unknown function (DUF1889)
pfam01924	Hydrogenase formation hypA family
pfam12060	Domain of unknown function (DUF3541)
pfam15133	TLR adaptor interacting with SLC15A4 on the lysosome
pfam15626	single CXXC unit
pfam12728	Helix-turn-helix domain
pfam15101	Telomere-associated protein TERB2
pfam06850	PHB de-polymerase C-terminus
pfam10007	Uncharacterized protein conserved in archaea (DUF2250)
pfam19264	Repeat of unknown function (DUF5907)
pfam08351	Domain of unknown function (DUF1726)
pfam02723	Coronavirus small envelope protein E
pfam14974	Protein C10 
pfam16784	Putative HNHc nuclease
pfam05138	Phenylacetic acid catabolic protein
pfam07055	Enoyl reductase FAD binding domain
pfam04091	Exocyst complex subunit Sec15-like 
pfam07119	Protein of unknown function (DUF1375)
pfam19286	Domain of unknown function (DUF5909)
pfam16300	Type of WD40 repeat
pfam07381	Winged helix DNA-binding domain (DUF1495)
pfam12652	CotJB protein
pfam02897	Prolyl oligopeptidase, N-terminal beta-propeller domain
pfam08085	Entericidin EcnA/B family
pfam16766	Binding region of GANP to ENY2
pfam08838	Protein of unknown function (DUF1811)
pfam04254	Protein of unknown function (DUF432)
pfam08964	Beta/Gamma crystallin
pfam07157	DNA circularisation protein N-terminus
pfam06377	Adipokinetic hormone
pfam05215	Spiralin
pfam05887	Procyclic acidic repetitive protein (PARP)
pfam07956	Protein of Unknown function (DUF1690) 
pfam18801	response regulator aspartate phosphatase H, N terminal
pfam10105	Uncharacterized protein conserved in bacteria (DUF2344)
pfam13101	Protein of unknown function (DUF3945)
pfam18833	Tetratricopeptide repeat
pfam19646	Family of unknown function (DUF6149)
pfam17546	Beta defensin 50
pfam13133	Protein of unknown function (DUF3949)
pfam11494	Ta0938
pfam17482	Phage tail sheath C-terminal domain
pfam12142	Polyphenol oxidase middle domain
pfam09539	Protein of unknown function (DUF2385)
pfam07639	YTV
pfam03089	Recombination activating protein 2
pfam07287	Acyclic terpene utilisation family protein AtuA
pfam07815	Abl-interactor HHR
pfam13876	Phage protein (N4 Gp49/phage Sf6 gene 66) family
pfam03618	Kinase/pyrophosphorylase
pfam18176	KptA in kinetoplastid DICER domain
pfam01409	tRNA synthetases class II core domain (F)
pfam01740	STAS domain
pfam18977	Family of unknown function (DUF5713)
pfam19919	MoxR-vWA-beta-propeller ternary system domain bpX3
pfam16364	Cell surface antigen C-terminus
pfam10809	Protein of unknown function (DUF2732)
pfam09547	Stage IV sporulation protein A (spore_IV_A)
pfam03527	RHS protein
pfam07647	SAM domain (Sterile alpha motif)
pfam04184	ST7 protein
pfam13613	Helix-turn-helix of DDE superfamily endonuclease
pfam19156	Family of unknown function (DUF5838)
pfam00894	Luteovirus coat protein
pfam08900	Transcriptional regulator AcaB
pfam06271	RDD family
pfam19957	Effector-associated domain 5
pfam15442	Domain of unknown function (DUF4629)
pfam06062	Uncharacterised protein family (UPF0231)
pfam14409	Ribosomally synthesized peptide in Herpetosiphon
pfam03577	Peptidase family C69
pfam00388	Phosphatidylinositol-specific phospholipase C, X domain
pfam12852	Cupin
pfam14740	Domain of unknown function (DUF4471)
pfam02697	Putative antitoxin
pfam05247	Flagellar transcriptional activator (FlhD)
pfam05058	ActA Protein
pfam04494	WD40 associated region in TFIID subunit, NTD2 domain
pfam06221	Putative zinc finger motif, C2HC5-type
pfam08638	Mediator complex subunit MED14
pfam13500	AAA domain
pfam10383	Transcription-silencing protein Clr2   
pfam05687	BES1/BZR1 plant transcription factor, N-terminal
pfam15053	Mjmu-R1-like protein family
pfam05239	PRC-barrel domain
pfam18601	EZH2 N-terminal domain
pfam18927	Glycosyl-4,4'-diaponeurosporenoate acyltransferase
pfam11184	Protein of unknown function (DUF2969)
pfam18126	Mitochondrial ribosomal protein mL59
pfam19846	Domain of unknown function (DUF6321)
pfam18633	Zinc-finger antiviral protein (ZAP) zinc finger domain 3
pfam13826	Domain of unknown function (DUF4188)
pfam17192	MukF middle domain
pfam12596	87kDa Transposase
pfam19935	Domain of unknown function (DUF6398)
pfam07839	Plant calmodulin-binding domain
pfam05341	Per os infectivity factor 6
pfam11254	Protein of unknown function (DUF3053)
pfam06327	Domain of Unknown Function (DUF1053)
pfam03818	Malonate/sodium symporter MadM subunit
pfam11091	Tail-tube assembly protein
pfam08118	Yeast mitochondrial distribution and morphology (MDM) proteins 
pfam13676	TIR domain
pfam09515	Thiamine transporter protein (Thia_YuaJ)
pfam07615	YKOF-related Family
pfam09992	Phosphodiester glycosidase
pfam10609	NUBPL iron-transfer P-loop NTPase
pfam07847	PCO_ADO
pfam00694	Aconitase C-terminal domain
pfam18113	Rubredoxin binding C-terminal domain
pfam13813	Membrane bound O-acyl transferase family
pfam15586	Immunity protein 8
pfam13564	DoxX-like family
pfam10763	Protein of unknown function (DUF2584)
pfam08235	LNS2 (Lipin/Ned1/Smp2)
pfam13586	Transposase DDE domain
pfam19036	First Longin domain of FUZ, MON1 and HPS1
pfam15564	Immunity protein 25
pfam12433	Parvovirus non-structural protein 1 
pfam06140	Interferon-induced 6-16 family 
pfam15813	Domain of unknown function (DUF4708)
pfam14924	Protein of unknown function (DUF4497)
pfam02773	S-adenosylmethionine synthetase, C-terminal domain
pfam12401	Protein of unknown function (DUF3662) 
pfam01974	tRNA intron endonuclease, catalytic C-terminal domain
pfam00345	Pili and flagellar-assembly chaperone, PapD N-terminal domain
pfam00768	D-alanyl-D-alanine carboxypeptidase
pfam12012	Domain of unknown function (DUF3504)
pfam03341	Poxvirus mRNA capping enzyme, small subunit
pfam00020	TNFR/NGFR cysteine-rich region
pfam09321	Domain of unknown function (DUF1978)
pfam17226	MTA R1 domain
pfam18292	Zinc transporter ZIP4 domain
pfam02438	Late 100kD protein
pfam12778	PXPV repeat (3 copies)
pfam15676	Six6 opposite strand transcript 1 family
pfam08497	Radical SAM N-terminal
pfam05818	Enterobacterial TraT complement resistance protein
pfam07037	Putative transcription regulator (DUF1323)
pfam03687	Uncharacterised protein family (UPF0164)
pfam07218	Rhoptry-associated protein 1 (RAP-1)
pfam15500	Putative RNase-like toxin, toxin_1
pfam15826	Bcl-2-binding component 3, p53 upregulated modulator of apoptosis
pfam02302	PTS system, Lactose/Cellobiose specific IIB subunit
pfam11166	Protein of unknown function (DUF2951)
pfam11967	Recombination protein O N terminal
pfam13053	Protein of unknown function (DUF3914)
pfam06650	SHR-binding domain of vacuolar-sorting associated protein 13
pfam03239	Iron permease FTR1 family
pfam17213	Hydin Adenylate kinase-like domain
pfam05577	Serine carboxypeptidase S28
pfam13442	Cytochrome C oxidase, cbb3-type, subunit III 
pfam19422	Ariadne domain
pfam03247	Prothymosin/parathymosin family
pfam03058	Sar8.2 family
pfam09227	Domain of unknown function (DUF1962)
pfam03359	Guanylate-kinase-associated protein (GKAP) protein
pfam16823	Atypical PilZ domain, cyclic di-GMP receptor
pfam07348	Syd protein (SUKH-2)
pfam07765	KIP1-like protein
pfam02884	Polysaccharide lyase family 8, C-terminal beta-sandwich domain
pfam19791	Family of unknown function (DUF6275)
pfam16955	Ferrous iron uptake permease, iron-lead transporter
pfam01152	Bacterial-like globin
pfam05894	Podovirus DNA encapsidation protein (Gp16)
pfam03317	ELF protein
pfam06545	Protein of unknown function (DUF1116)
pfam17343	Family of unknown function (DUF5373)
pfam12750	Maff2 family
pfam15809	Simian taste bud-specific gene product family
pfam14842	FliG N-terminal domain
pfam11487	Type II restriction enzyme SfiI
pfam17209	Hfq protein
pfam07051	Ovarian carcinoma immunoreactive antigen (OCIA)
pfam07294	Fibroin P25
pfam01282	Ribosomal protein S24e
pfam13007	Transposase C of IS166 homeodomain
pfam16816	DotD protein
pfam08355	EF hand associated
pfam06678	Protein of unknown function (DUF1179)
pfam04996	Succinylarginine dihydrolase
pfam15105	TMEM61 protein family
pfam04197	Birnavirus RNA dependent RNA polymerase (VP1)
pfam01642	Methylmalonyl-CoA mutase
pfam03211	Pectate lyase
pfam00887	Acyl CoA binding protein
pfam00215	Orotidine 5'-phosphate decarboxylase / HUMPS family
pfam03070	TENA/THI-4/PQQC family
pfam16673	TNF receptor-associated factor BIRC3 binding domain
pfam09375	Imelysin
pfam13105	Protein of unknown function (DUF3959)
pfam04418	Domain of unknown function (DUF543)
pfam10101	Predicted membrane protein (DUF2339)
pfam18805	Leucine-rich repeat
pfam10626	Conjugative transposon protein TraO
pfam10133	CO dehydrogenase accessory protein CooT
pfam14032	PknH-like extracellular domain
pfam06588	Muskelin N-terminus
pfam11334	Protein of unknown function (DUF3136)
pfam05211	Neuraminyllactose-binding hemagglutinin precursor (NLBH)
pfam14413	Thg1 C terminal domain
pfam17910	FeoB cytosolic helical domain
pfam08081	RBM1CTR (NUC064) family
pfam15007	Centrosomal spindle body, CEP44
pfam04095	Nicotinate phosphoribosyltransferase (NAPRTase) family
pfam02524	KID repeat
pfam07385	D-lyxose isomerase
pfam07530	Associated with zinc fingers
pfam16583	Zinc-regulated secreted antivirulence protein C-terminal domain
pfam09630	Domain of unknown function (DUF2024)
pfam08194	DIM protein
pfam05317	Thermopsin
pfam10613	Ligated ion channel L-glutamate- and glycine-binding site
pfam03894	D-xylulose 5-phosphate/D-fructose 6-phosphate phosphoketolase
pfam06275	Protein of unknown function (DUF1031)
pfam13809	Tubulin like
pfam01476	LysM domain
pfam18109	Ferredoxin I 4Fe-4S cluster domain
pfam00527	E7 protein, Early protein
pfam11736	Protein of unknown function (DUF3299)
pfam10876	Phage tail assembly chaperone protein, TAC
pfam05359	Domain of Unknown Function (DUF748)
pfam07811	TadE-like protein
pfam00618	RasGEF N-terminal motif
pfam14426	Immunity protein Imm2
pfam16056	Domain of unknown function (DUF4799)
pfam09110	HAND
pfam16797	Fungal kinase associated-1 domain
pfam02866	lactate/malate dehydrogenase, alpha/beta C-terminal domain
pfam00089	Trypsin
pfam09162	Tap, RNA-binding
pfam14476	Petal formation-expressed
pfam17108	N-terminal small S protein of HET, non-prionic
pfam04736	Eclosion hormone
pfam10826	Protein of unknown function (DUF2551) 
pfam10500	Nuclear RNA-splicing-associated protein
pfam13383	Methyltransferase domain
pfam07103	Protein of unknown function (DUF1365)
pfam12567	Leukocyte receptor CD45
pfam07131	Protein of unknown function (DUF1382)
pfam00577	Outer membrane usher protein
pfam03388	Legume-like lectin family
pfam09830	ATP adenylyltransferase C-terminal domain
pfam08484	C-methyltransferase C-terminal domain
pfam01426	BAH domain
pfam03694	Erg28 like protein
pfam01032	FecCD transport family
pfam10813	Protein of unknown function (DUF2733)
pfam10564	Sialic-acid binding micronemal adhesive repeat
pfam04334	Protein of unknown function (DUF478)
pfam13609	Gram-negative porin
pfam11418	Phi29 scaffolding protein
pfam02574	Homocysteine S-methyltransferase
pfam15763	Regulator of human erythroid cell expansion (RHEX)
pfam17962	Bacterial macroglobulin domain 6
pfam09511	RNA ligase
pfam07611	Protein of unknown function (DUF1574)
pfam11095	Gem-associated protein 7 (Gemin7)
pfam00818	Ice nucleation protein repeat
pfam10676	Spore germination protein gerPA/gerPF
pfam06752	Enhancer of Polycomb C-terminus
pfam19931	Family of unknown function (DUF6394)
pfam01413	C-terminal tandem repeated domain in type 4 procollagen
pfam19903	Family of unknown function (DUF6376)
pfam05020	NPL4 family, putative zinc binding region
pfam05768	Glutaredoxin-like domain (DUF836)
pfam05345	Putative Ig domain
pfam02666	Phosphatidylserine decarboxylase
pfam14282	FlxA-like protein
pfam06517	Orthopoxvirus A43R protein
pfam03768	Attacin, N-terminal region
pfam02684	Lipid-A-disaccharide synthetase
pfam18208	Nicking enzyme C-terminal middle helical domain
pfam16136	Putative nuclear localisation signal
pfam03345	Oligosaccharyltransferase 48 kDa subunit beta
pfam09325	Vps5 C terminal like
pfam16623	Unstructured linker region between on GAS7 protein
pfam04487	CITED
pfam00341	PDGF/VEGF domain
pfam03020	LEM domain
pfam09040	Gastric H+/K+-ATPase, N terminal domain
pfam16937	Type III secretion system translocator protein, HrpF
pfam02244	Carboxypeptidase activation peptide
pfam05694	56kDa selenium binding protein (SBP56)
pfam06559	2'-deoxycytidine 5'-triphosphate deaminase (DCD)
pfam06628	Catalase-related immune-responsive
pfam13763	Domain of unknown function (DUF4167)
pfam11996	Protein of unknown function (DUF3491)
pfam08203	Yeast RNA polymerase I subunit RPA14
pfam16949	Putative ATP-binding cassette
pfam15609	Phosphoribosyl transferase
pfam14642	FAM47 family
pfam11197	Protein of unknown function (DUF2835)
pfam08231	SYF2 splicing factor
pfam08349	Protein of unknown function (DUF1722)
pfam00058	Low-density lipoprotein receptor repeat class B
pfam12393	Dr family adhesin 
pfam05388	Carboxypeptidase Y pro-peptide
pfam08466	Inward rectifier potassium channel N-terminal
pfam07454	Stage II sporulation protein P (SpoIIP)
pfam06878	Pkip-1 protein
pfam16616	Unstructured region on Polyhomeotic-like protein 1 and 2
pfam10442	FIST C domain
pfam08337	Plexin cytoplasmic RasGAP domain
pfam02398	Coronavirus protein 7
pfam01842	ACT domain
pfam00239	Resolvase, N terminal domain
pfam10053	Uncharacterized conserved protein (DUF2290)
pfam15383	Transmembrane protein 237
pfam00687	Ribosomal protein L1p/L10e family
pfam14152	YfhE-like protein
pfam16873	Putative abortive phage resistance protein AbiGii toxin
pfam18920	Domain of unknown function (DUF5671)
pfam09651	CRISPR-associated protein (Cas_APE2256)
pfam17941	Polyphosphate kinase C-terminal domain 1
pfam13507	CobB/CobQ-like glutamine amidotransferase domain
pfam04479	RTA1 like protein
pfam05680	ATP synthase E chain
pfam00829	Ribosomal prokaryotic L21 protein
pfam14739	Domain of unknown function (DUF4472)
pfam08671	Anti-repressor SinI
pfam05240	APOBEC-like C-terminal domain
pfam02690	Na+/Pi-cotransporter
pfam11429	Colicin D
pfam14747	Domain of unknown function (DUF4473)
pfam03606	C4-dicarboxylate anaerobic carrier
pfam08821	CGGC domain
pfam00125	Core histone H2A/H2B/H3/H4
pfam09141	Talin, middle domain
pfam03121	Herpesviridae UL52/UL70 DNA primase
pfam01715	IPP transferase
pfam07840	FadR C-terminal domain
pfam12669	FeoB-associated Cys-rich membrane protein
pfam00679	Elongation factor G C-terminus
pfam00782	Dual specificity phosphatase, catalytic domain
pfam06045	Rhamnogalacturonate lyase family
pfam15465	Domain of unknown function (DUF4634)
pfam06320	GCN5-like protein 1 (GCN5L1)
pfam12731	Mating-type protein beta 1
pfam06139	BphX-like
pfam12703	Toxin of toxin-antitoxin type 1 system
pfam02471	Borrelia outer surface protein E
pfam08490	Domain of unknown function (DUF1744)
pfam10461	Peptidase S68
pfam00027	Cyclic nucleotide-binding domain
pfam13465	Zinc-finger double domain
pfam18744	Secreted Novel AID/APOBEC-like Deaminase 1
pfam06147	Protein of unknown function (DUF968)
pfam05121	Gas vesicle protein K  
pfam01861	Branched-chain polyamine synthase A C-terminal domain
pfam06946	Bacteriophage A118-like holin, Hol118
pfam05606	Borrelia burgdorferi protein of unknown function (DUF777)
pfam11904	GPCR-chaperone
pfam00589	Phage integrase family
pfam16556	Interleukin-17 receptor, fibronectin-III-like domain 1
pfam09414	RNA ligase
pfam18469	Pleckstrin homology domain
pfam12372	Huntingtin protein region 
pfam06619	Protein of unknown function (DUF1149)
pfam04912	Dynamitin 
pfam09220	L-A virus, major coat protein
pfam18346	Mind bomb SH3 repeat domain
pfam06088	Nucleopolyhedrovirus telokin-like protein-20 (TLP20)
pfam06835	Lipopolysaccharide-assembly, LptC-related
pfam00362	Integrin beta chain VWA domain
pfam14532	Sigma-54 interaction domain
pfam05570	Circovirus protein of unknown function (DUF765)
pfam08581	Tup N-terminal
pfam06657	Centrosome microtubule-binding domain of Cep57
pfam11960	Domain of unknown function (DUF3474)
pfam16892	Chitin biosynthesis protein CHS5 N-terminus
pfam02024	Leptin
pfam14661	HAUS augmin-like complex subunit 6 N-terminus
pfam07030	Protein of unknown function (DUF1320)
pfam16083	LydA holin phage, holin superfamily III
pfam10236	Mitochondrial ribosomal death-associated protein 3
